,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
2226,0,0,1,1,23.0,0,1,0,2,0,0,2,0,0,2,0,3,34.6,813.45
1541,1,0,0,0,72.0,1,0,2,1,1,1,1,1,1,2,0,0,19.85,1434.1
4407,1,0,0,1,8.0,1,0,2,1,1,1,1,1,1,0,0,3,20.35,178.7
3568,0,0,0,0,21.0,1,0,1,0,2,0,2,2,2,0,1,0,99.15,1956.4
6152,0,0,0,0,16.0,1,0,1,0,2,2,0,0,2,0,1,1,93.2,1573.7
390,0,0,0,0,27.0,1,2,1,0,0,0,0,2,2,0,1,0,95.6,2595.25
6320,0,0,1,1,30.0,1,0,0,0,0,2,2,2,0,1,1,2,64.5,1985.15
2467,1,0,1,1,49.0,1,2,1,0,0,0,2,2,2,1,1,2,97.95,4917.9
3795,1,0,0,0,12.0,1,0,1,0,0,0,0,2,0,0,1,2,81.45,912.0
3842,0,0,1,0,27.0,1,2,1,0,0,0,0,2,2,0,0,1,95.0,2462.55
1937,0,0,1,1,13.0,1,0,2,1,1,1,1,1,1,2,0,3,19.55,265.3
5353,1,0,0,0,21.0,1,0,0,0,0,2,0,0,2,0,0,3,61.65,1393.6
4904,0,0,0,0,33.0,1,2,1,0,2,2,0,2,2,0,0,2,107.55,3645.5
4428,1,0,1,1,19.0,1,2,1,0,0,2,2,2,2,0,0,2,103.3,2012.7
3051,0,0,1,1,71.0,1,2,0,2,2,2,2,2,2,2,0,0,89.9,6342.7
49,0,0,1,1,69.0,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1
7019,0,0,0,0,39.0,1,0,2,1,1,1,1,1,1,2,0,3,20.15,826.0
3399,0,0,0,0,42.0,1,2,0,0,0,2,2,2,2,2,1,1,78.45,3373.4
6559,0,0,1,0,56.0,1,0,1,0,0,2,2,2,2,0,1,2,98.7,5669.5
4543,1,0,1,1,41.0,1,0,2,1,1,1,1,1,1,1,0,0,19.5,798.2
353,1,0,1,1,4.0,1,2,1,0,2,2,0,0,0,0,1,0,84.8,371.9
2364,1,0,1,0,14.0,1,2,1,0,2,2,0,0,0,0,1,2,82.65,1185.0
5311,0,0,1,0,6.0,1,0,2,1,1,1,1,1,1,0,0,0,19.5,146.3
2179,0,0,0,0,5.0,1,0,2,1,1,1,1,1,1,1,0,2,19.55,99.6
4173,0,0,0,0,12.0,1,2,1,0,0,0,0,0,2,0,1,2,86.55,1066.9
6196,1,0,0,0,69.0,1,2,1,2,2,2,0,2,2,2,1,1,110.05,7430.75
4238,1,0,1,1,57.0,1,0,2,1,1,1,1,1,1,1,0,3,19.4,1061.6
4857,0,0,0,0,20.0,0,1,0,0,0,0,0,0,0,0,0,1,24.9,505.95
2977,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,1,3,19.5,19.5
2086,1,0,1,1,17.0,1,0,1,0,0,0,0,2,0,0,0,2,80.85,1400.85
2811,0,0,1,1,39.0,1,0,2,1,1,1,1,1,1,2,0,3,19.75,757.95
1128,1,0,0,0,27.0,1,0,2,1,1,1,1,1,1,0,1,2,19.4,529.8
5930,0,0,0,0,72.0,1,2,1,2,0,0,2,0,0,2,1,0,84.7,6185.15
6079,0,0,1,0,25.0,1,2,0,0,2,0,0,0,0,0,0,2,54.1,1373.0
5469,1,0,0,0,33.0,1,0,1,0,2,2,0,0,0,0,1,1,79.0,2576.8
5146,1,0,0,1,11.0,1,2,1,0,0,0,0,0,2,0,0,2,86.2,893.2
4752,1,0,0,0,23.0,1,0,2,1,1,1,1,1,1,1,0,3,20.45,481.1
1300,1,0,1,0,72.0,1,2,1,0,2,2,2,2,2,2,1,1,110.6,7962.2
1281,0,0,0,0,36.0,1,0,2,1,1,1,1,1,1,1,1,0,19.25,679.8
3688,0,0,0,0,41.0,1,2,1,0,0,2,0,2,2,0,0,0,98.05,3990.6
3080,1,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,3,24.3,38.45
4782,1,0,0,0,5.0,1,0,1,0,0,0,0,0,2,0,0,3,78.75,426.35
3231,0,0,0,0,15.0,1,0,0,2,2,2,2,2,2,0,0,3,84.45,1287.85
2352,1,0,0,0,8.0,1,0,2,1,1,1,1,1,1,0,1,0,19.7,168.9
509,0,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,19.85,19.85
4311,0,0,0,0,7.0,0,1,0,0,2,0,0,0,2,0,1,1,40.1,293.3
1191,1,0,1,1,35.0,1,2,0,2,2,2,2,0,0,2,1,1,69.15,2490.15
6373,1,0,1,1,44.0,1,0,1,0,0,2,0,2,2,0,1,0,92.95,4122.9
5290,0,0,1,1,71.0,0,1,0,2,2,0,2,2,2,2,0,0,59.7,4122.65
4461,1,0,0,0,29.0,1,0,1,0,0,0,2,2,2,0,1,2,94.2,2607.6
4154,1,0,0,0,6.0,1,2,1,0,0,0,0,0,0,0,1,2,74.9,469.8
1206,0,0,0,0,3.0,1,0,1,0,0,0,0,0,0,0,1,2,70.15,194.2
2853,0,0,0,0,60.0,1,2,1,0,0,2,0,0,0,1,1,0,79.2,4765.0
5225,1,0,1,1,72.0,1,2,1,0,2,2,0,2,2,1,1,1,104.45,7459.0
541,0,0,0,0,11.0,1,2,0,0,0,0,0,0,2,0,1,3,58.95,601.6
1216,1,0,1,1,54.0,1,0,2,1,1,1,1,1,1,2,0,1,20.4,1090.6
1329,0,0,1,0,72.0,1,0,2,1,1,1,1,1,1,2,0,0,19.4,1496.45
3635,0,0,1,0,72.0,1,2,2,1,1,1,1,1,1,2,0,2,24.55,1750.7
133,1,0,0,0,1.0,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45
2255,0,0,0,1,1.0,1,0,0,2,0,0,0,0,0,0,0,3,51.2,51.2
47,0,0,0,0,2.0,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15
3770,0,0,1,0,57.0,1,0,2,1,1,1,1,1,1,2,0,0,19.9,1115.6
2385,0,0,0,1,3.0,0,1,0,0,2,0,0,0,0,0,0,3,29.65,90.05
2734,1,0,0,0,11.0,1,0,2,1,1,1,1,1,1,0,0,3,20.25,208.0
6735,0,0,1,1,71.0,1,0,0,2,2,2,2,2,2,2,0,1,87.25,6328.7
757,0,0,0,0,3.0,1,0,2,1,1,1,1,1,1,0,0,3,19.85,57.2
561,1,0,1,0,3.0,1,2,2,1,1,1,1,1,1,0,1,3,23.6,89.05
2738,0,0,1,1,43.0,1,0,0,2,0,2,0,2,2,2,0,0,75.2,3254.35
589,1,0,1,1,71.0,1,2,0,2,2,2,2,2,2,2,0,2,90.4,6668.05
5999,1,0,0,0,35.0,1,2,1,2,0,2,2,2,2,2,1,2,108.95,4025.5
564,1,0,0,0,7.0,1,0,0,0,0,2,2,2,0,0,0,0,64.3,445.95
5103,0,0,1,1,28.0,1,0,1,2,0,0,0,0,2,1,1,0,82.85,2320.8
1620,0,0,1,1,2.0,0,1,0,0,0,0,2,0,0,0,0,0,29.05,44.75
403,0,0,1,0,68.0,1,0,0,2,0,0,2,0,0,1,0,0,55.9,3848.8
1610,1,0,1,1,51.0,1,0,0,2,2,0,2,0,0,2,0,1,60.5,3121.45
4909,1,0,1,0,51.0,1,0,0,2,2,2,2,2,2,2,1,1,83.85,4307.1
2315,1,0,1,1,35.0,1,2,0,0,0,0,2,2,2,1,1,0,73.45,2661.1
3446,0,0,0,0,58.0,1,2,1,2,2,2,0,2,2,1,1,2,107.75,6332.75
4581,1,0,0,0,58.0,1,0,2,1,1,1,1,1,1,2,0,3,20.8,1212.25
3257,1,0,0,0,22.0,1,0,1,0,2,0,0,2,2,0,1,3,93.2,2157.3
3923,1,0,0,0,1.0,1,0,1,0,0,0,0,0,2,0,1,3,80.85,80.85
5044,1,0,1,0,22.0,1,0,1,2,2,0,2,2,2,0,1,2,104.6,2180.55
3686,0,0,0,0,13.0,1,2,1,0,0,0,0,0,0,0,1,3,75.0,999.45
4076,1,0,1,0,70.0,1,2,1,2,2,2,0,2,0,2,1,1,99.35,6944.5
3877,0,0,1,1,21.0,0,1,0,2,0,2,0,2,2,1,1,2,55.95,1157.05
4970,1,0,0,0,7.0,0,1,0,0,0,0,0,0,0,1,1,1,24.35,150.85
6998,0,0,0,0,13.0,1,0,1,0,0,0,0,0,2,0,1,2,80.5,1011.8
4385,1,0,0,0,21.0,1,0,2,1,1,1,1,1,1,1,1,3,20.35,422.7
2777,1,0,0,0,10.0,1,0,2,1,1,1,1,1,1,0,0,2,20.0,185.4
2608,1,0,1,1,7.0,0,1,0,2,0,0,2,0,0,0,1,2,34.5,279.25
4693,1,0,0,1,52.0,1,2,2,1,1,1,1,1,1,2,0,1,25.6,1334.5
4186,1,0,0,1,62.0,1,2,1,0,0,2,2,2,2,2,1,2,104.05,6590.5
2675,1,0,1,1,42.0,1,0,2,1,1,1,1,1,1,2,0,3,20.7,828.85
5448,0,0,1,1,41.0,1,2,1,2,2,2,0,0,2,1,1,0,101.6,3930.55
164,0,0,1,1,11.0,1,0,2,1,1,1,1,1,1,1,0,3,20.6,233.9
1056,0,0,0,0,5.0,1,0,1,0,0,0,0,0,2,0,1,2,80.0,412.5
1478,1,0,0,0,41.0,1,2,1,0,2,2,0,2,2,0,1,2,104.7,4346.4
6937,0,0,0,0,28.0,0,1,0,0,0,2,2,0,0,0,1,3,35.75,961.4
5789,0,0,0,0,25.0,1,0,2,1,1,1,1,1,1,2,0,1,19.8,475.2
754,0,0,1,0,2.0,1,0,1,2,2,0,0,2,0,0,0,2,90.35,190.5
2525,1,0,1,1,72.0,1,2,1,2,2,0,2,0,2,2,1,1,97.75,6991.6
2476,1,0,1,0,69.0,1,0,0,2,2,2,2,2,2,2,1,3,84.7,5878.9
3486,1,0,0,0,47.0,1,2,1,2,2,0,0,2,0,1,0,0,94.8,4535.85
2478,1,0,0,0,4.0,1,0,0,0,0,0,0,0,0,0,0,3,44.55,220.75
1229,1,0,1,0,61.0,1,2,0,2,0,2,2,0,2,2,0,1,75.35,4729.3
2020,1,0,1,0,52.0,1,0,0,2,2,0,0,2,2,1,1,3,75.4,3865.45
2033,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,1,3,20.2,20.2
4773,1,0,0,0,44.0,0,1,0,0,2,2,0,2,2,1,1,3,53.95,2375.4
3654,0,0,1,0,28.0,1,0,1,0,2,2,0,0,2,0,0,1,89.9,2433.5
6139,1,0,0,1,3.0,1,0,2,1,1,1,1,1,1,0,0,0,20.2,50.6
283,0,0,0,0,68.0,1,2,0,2,0,0,0,0,0,0,0,3,54.45,3687.75
4412,1,0,0,0,66.0,1,2,2,1,1,1,1,1,1,1,0,0,25.45,1699.15
1624,0,0,1,0,56.0,1,2,1,0,2,0,0,2,2,1,1,2,98.25,5508.35
1777,0,0,0,0,28.0,1,2,0,0,0,0,2,0,0,0,1,1,54.9,1505.15
2661,0,0,0,0,66.0,0,1,0,2,2,2,2,0,0,2,1,3,47.4,3177.25
1483,0,0,1,1,51.0,1,0,0,2,2,0,2,0,2,1,1,1,69.75,3562.5
4170,1,0,1,0,72.0,1,2,1,2,2,2,2,2,2,2,0,0,115.15,8349.45
1136,0,0,1,1,63.0,1,0,2,1,1,1,1,1,1,2,0,1,20.0,1209.25
2591,0,0,1,1,57.0,1,2,1,0,2,0,0,2,2,0,1,2,100.6,5611.7
5763,0,0,0,0,3.0,1,0,1,0,0,0,0,0,0,0,1,2,70.25,229.7
6402,0,0,1,1,54.0,1,2,0,0,2,2,0,0,0,2,1,0,59.8,3246.45
4325,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,1,20.75,20.75
463,1,0,0,0,7.0,1,2,1,0,2,0,0,2,2,0,1,2,99.8,673.25
2019,1,0,1,0,67.0,1,2,1,0,2,2,0,2,2,1,0,2,104.1,7040.85
6455,1,0,1,0,59.0,0,1,0,0,0,0,0,2,2,0,1,2,44.3,2666.75
2139,0,0,0,0,7.0,1,0,0,0,0,0,0,2,2,0,1,2,66.85,458.1
3793,0,0,0,0,9.0,1,0,2,1,1,1,1,1,1,0,0,3,20.25,186.15
1658,1,0,1,1,50.0,1,2,1,2,0,2,0,2,2,0,0,1,105.95,5341.8
1528,0,0,0,0,19.0,1,0,0,0,0,0,0,0,2,0,1,2,56.2,1093.4
2187,1,0,1,0,71.0,1,2,1,2,2,2,2,2,2,2,1,2,116.25,8564.75
5129,0,0,0,0,13.0,1,0,1,0,0,0,0,2,0,0,1,3,81.9,1028.9
2823,1,0,1,0,39.0,1,0,2,1,1,1,1,1,1,2,1,0,20.45,790.0
5286,1,0,1,0,8.0,1,0,1,2,0,0,0,0,0,0,1,2,74.5,609.9
3691,0,0,1,0,40.0,1,2,0,0,2,0,0,2,0,1,0,0,63.9,2635.0
5888,0,0,1,1,49.0,1,2,1,0,0,0,0,2,2,0,1,2,95.6,4783.5
3112,1,0,1,0,72.0,1,2,1,2,2,0,2,0,2,2,1,0,100.55,7325.1
3480,1,0,1,0,70.0,1,0,2,1,1,1,1,1,1,2,0,1,19.85,1433.8
876,0,0,0,0,15.0,1,0,1,2,0,2,2,2,2,0,0,2,105.1,1582.75
920,1,0,1,0,60.0,1,2,2,1,1,1,1,1,1,1,0,0,24.15,1505.9
6176,1,0,0,0,43.0,1,2,1,0,2,0,0,0,0,0,1,2,77.85,3365.85
1016,1,0,1,0,71.0,1,2,0,2,2,2,2,0,2,2,1,3,80.1,5585.4
7011,0,0,0,0,4.0,1,0,0,2,2,0,2,0,0,0,1,3,60.4,272.15
3560,1,0,0,0,7.0,1,0,0,0,0,0,0,0,0,0,0,3,43.9,278.4
2426,0,0,1,0,17.0,0,1,0,0,2,2,0,0,0,0,1,1,35.65,646.05
1419,1,0,1,1,63.0,1,0,2,1,1,1,1,1,1,2,1,3,19.15,1177.05
5018,0,0,1,1,72.0,1,0,2,1,1,1,1,1,1,2,0,1,19.7,1379.8
1107,0,0,1,0,69.0,1,2,2,1,1,1,1,1,1,2,0,0,24.25,1641.8
3680,1,0,1,0,9.0,0,1,0,0,0,0,2,2,0,0,0,3,40.65,328.95
5522,0,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,1,3,70.15,70.15
2927,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,1,2,69.9,69.9
3570,1,0,1,1,16.0,1,0,2,1,1,1,1,1,1,2,0,3,20.5,290.55
3419,1,0,1,1,69.0,1,0,1,0,2,0,2,2,0,2,1,3,92.15,6480.9
2072,1,0,0,1,39.0,1,0,2,1,1,1,1,1,1,1,0,0,19.35,779.2
2683,0,0,0,0,7.0,1,2,1,2,0,0,0,0,0,0,1,3,79.65,604.7
6278,0,0,1,0,70.0,1,2,1,0,0,2,2,2,2,2,1,0,104.3,7188.5
5785,1,0,1,1,46.0,1,0,2,1,1,1,1,1,1,2,1,3,20.2,917.45
2749,1,0,1,1,34.0,1,2,0,0,0,2,0,2,2,1,0,0,77.2,2753.8
2284,1,0,0,1,3.0,1,0,0,2,0,2,0,0,0,0,0,3,55.9,157.55
5958,1,0,1,0,11.0,1,0,0,0,0,0,0,2,0,0,1,0,55.05,608.15
4484,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,1,2,70.35,70.35
59,0,0,0,0,72.0,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7
3207,0,0,0,0,5.0,1,0,2,1,1,1,1,1,1,0,1,1,19.65,92.05
2038,0,0,1,1,26.0,1,0,1,0,0,0,0,2,2,0,1,2,90.8,2361.8
4789,0,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,3,71.1,71.1
2587,1,0,0,1,27.0,1,0,2,1,1,1,1,1,1,1,0,1,20.05,552.9
2814,0,0,1,1,62.0,0,1,0,2,2,0,2,2,0,2,0,0,48.7,3008.55
2793,1,0,0,0,4.0,1,2,1,2,0,0,0,0,0,0,1,2,80.1,336.15
5374,0,0,0,0,10.0,1,2,1,0,0,0,0,0,0,0,1,2,74.75,799.65
1953,1,0,0,1,1.0,1,0,1,0,2,0,0,0,0,0,1,2,75.35,75.35
5709,0,0,0,0,12.0,1,0,2,1,1,1,1,1,1,1,0,3,19.3,228.75
3270,0,0,0,0,4.0,1,2,1,0,0,0,2,2,2,0,1,3,100.85,399.25
3036,1,0,0,0,67.0,0,1,0,2,0,2,2,2,0,1,1,0,49.35,3321.35
1084,0,0,1,1,52.0,1,0,2,1,1,1,1,1,1,1,0,1,19.6,1012.4
5677,1,0,1,0,40.0,1,0,1,0,2,2,0,0,0,1,0,2,80.8,3132.75
1582,0,0,1,1,56.0,1,2,0,2,0,0,0,2,0,1,0,0,65.2,3512.15
1585,1,0,1,0,42.0,1,2,0,2,0,0,2,2,2,1,0,1,80.45,3375.9
3867,0,0,1,0,26.0,1,0,0,0,2,2,0,2,2,2,1,1,73.5,1905.7
3889,1,0,0,0,13.0,1,0,2,1,1,1,1,1,1,1,0,1,19.3,259.65
611,0,0,1,1,9.0,1,0,0,2,2,2,2,0,0,0,0,3,65.0,663.05
1140,0,0,0,1,13.0,1,2,0,2,2,2,2,2,2,2,0,1,88.95,1161.75
6378,1,0,1,1,13.0,1,0,1,2,0,0,0,0,2,0,0,2,84.05,1095.3
849,0,0,1,1,72.0,1,2,0,2,2,2,2,2,2,2,0,1,89.8,6510.45
4431,0,0,0,0,18.0,1,0,1,0,0,0,0,0,0,0,1,2,69.8,1221.65
1546,0,0,0,0,60.0,1,0,2,1,1,1,1,1,1,2,0,0,19.85,1128.1
6422,1,0,0,0,52.0,1,0,0,2,0,2,0,0,0,1,0,2,53.75,2790.65
2091,0,0,0,1,50.0,1,0,2,1,1,1,1,1,1,2,0,1,20.15,970.85
6111,0,0,0,0,40.0,1,2,1,0,0,0,0,0,2,0,0,0,83.85,3532.25
537,0,0,1,1,33.0,1,0,0,2,2,2,0,0,0,1,1,3,58.45,1955.4
3222,1,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,44.9,111.05
772,0,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,19.9,19.9
1714,1,0,0,0,68.0,1,2,0,2,2,2,0,0,2,1,0,1,76.75,5233.25
5691,1,0,0,0,4.0,1,0,2,1,1,1,1,1,1,1,0,3,19.95,68.2
4128,1,0,0,0,57.0,0,1,0,0,2,0,0,2,0,0,1,2,39.3,2111.45
3426,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,1,2,69.8,69.8
227,0,0,1,0,1.0,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2
2071,0,0,1,1,67.0,1,2,1,0,2,0,2,2,0,2,0,1,94.1,6302.8
3437,0,0,0,0,41.0,1,2,0,0,2,0,0,0,0,1,1,1,56.3,2364.0
341,0,0,1,0,71.0,1,2,0,2,2,2,2,2,2,2,0,1,85.75,6223.8
90,1,0,1,1,30.0,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2570.2
5615,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,1,0,20.2,20.2
3998,1,0,1,1,42.0,1,0,0,2,2,0,0,0,0,0,0,3,54.5,2301.15
5086,1,0,0,0,45.0,1,0,2,1,1,1,1,1,1,1,1,2,20.4,930.45
1298,0,0,1,1,24.0,0,1,0,2,2,2,0,2,2,1,0,2,57.6,1367.75
4984,0,0,0,0,42.0,1,0,0,2,2,2,0,0,0,0,0,0,59.65,2536.55
1573,1,0,1,1,47.0,1,0,1,2,2,2,0,0,2,1,1,2,96.1,4391.45
2702,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,2,44.0,44.0
5485,1,0,0,0,1.0,1,0,0,2,0,0,0,0,0,0,1,3,50.75,50.75
5333,0,0,1,1,13.0,1,0,1,0,0,0,0,2,2,0,0,2,88.35,1222.8
3149,0,0,0,0,8.0,1,0,0,0,0,2,2,0,2,0,0,3,64.1,504.05
647,1,0,1,1,50.0,1,2,0,0,0,2,2,2,0,1,1,2,69.65,3442.15
2577,0,0,0,0,1.0,1,2,1,0,0,0,0,2,2,0,1,2,94.6,94.6
97,1,0,0,0,5.0,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85
2901,0,0,1,1,72.0,1,2,1,2,2,0,0,2,0,2,1,2,95.1,6843.15
958,1,0,0,0,25.0,1,2,0,2,2,2,2,0,2,0,0,0,81.75,2028.8
2688,1,0,1,0,5.0,1,2,1,0,2,0,0,0,0,0,1,2,78.75,412.1
3082,1,0,0,0,51.0,1,2,0,2,0,0,2,0,0,1,0,1,59.9,3043.6
1874,0,0,1,0,43.0,1,2,0,2,2,0,2,2,2,2,0,1,86.45,3574.5
4838,0,0,1,0,67.0,1,2,1,0,2,2,2,2,2,1,1,1,109.7,7344.45
4803,1,0,1,0,38.0,1,2,1,2,0,0,0,2,0,0,0,0,91.7,3479.05
3265,1,0,1,1,29.0,1,0,1,0,0,0,0,0,0,0,1,2,70.75,1974.8
1455,0,0,1,0,36.0,1,2,1,2,2,2,2,0,2,2,1,1,106.05,3834.4
1352,1,0,1,1,72.0,0,1,0,2,0,2,2,2,2,2,0,0,60.95,4549.05
3221,1,0,0,0,3.0,0,1,0,0,0,0,2,0,0,0,1,2,29.75,96.85
6012,0,0,1,1,5.0,1,0,1,0,2,0,0,0,2,0,1,2,83.6,404.2
314,1,0,0,0,5.0,1,0,1,0,0,0,0,2,0,0,1,2,80.6,415.55
324,1,0,0,0,69.0,0,1,0,2,2,0,2,2,2,2,1,0,60.05,4176.7
884,0,0,1,1,49.0,0,1,0,2,0,0,2,0,0,1,1,1,35.8,1782.0
4297,0,0,0,0,45.0,1,2,0,2,0,0,2,0,2,2,0,3,73.55,3349.1
1735,1,0,1,1,72.0,1,2,1,2,2,2,2,2,2,2,0,0,114.45,8100.55
1201,0,0,0,0,12.0,1,0,0,0,2,0,0,0,0,0,1,2,49.4,611.65
2178,1,0,1,0,53.0,1,0,2,1,1,1,1,1,1,2,0,1,19.9,1110.05
123,0,0,1,1,7.0,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35
